xu,yu,xd,yd,xu_div_r0,yu_div_r0,yd_div_r0,xd_div_r0,xd_div_xu,yd_div_yu,sqr_r
10,-18,124.3,6.5,0.15873015873015872,-0.2857142857142857,-0.38095238095238093,0.219047619047619,1.3799999999999997,1.3333333333333333,0.19310657596371877
-20,-6,84.0,22.0,-0.31746031746031744,-0.09523809523809523,-0.1349206349206349,-0.42063492063492064,1.3250000000000002,1.4166666666666667,0.19513731418493324
22,0,139.5,30.5,0.3492063492063492,0.0,0.0,0.4603174603174603,1.3181818181818181,,0.21189216427311663
22,-6,139.0,22.5,0.3492063492063492,-0.09523809523809523,-0.12698412698412698,0.4523809523809524,1.2954545454545456,1.3333333333333333,0.2207734945830184
-14,-18,92.0,7.5,-0.2222222222222222,-0.2857142857142857,-0.36507936507936506,-0.29365079365079366,1.3214285714285716,1.2777777777777777,0.2195137314184933
-20,-12,84.5,14.5,-0.31746031746031744,-0.19047619047619047,-0.25396825396825395,-0.4126984126984127,1.3,1.3333333333333333,0.2348198538674729
16,-18,131.0,7.5,0.25396825396825395,-0.2857142857142857,-0.36507936507936506,0.3253968253968254,1.28125,1.2777777777777777,0.2391660367850844
22,-12,138.1,15.3,0.3492063492063492,-0.19047619047619047,-0.24126984126984125,0.438095238095238,1.2545454545454542,1.2666666666666666,0.25013857394809763
-26,0,78.0,30.5,-0.4126984126984127,0.0,0.0,-0.5158730158730159,1.2500000000000002,,0.26612496850592093
-26,-6,78.5,22.5,-0.4126984126984127,-0.09523809523809523,-0.12698412698412698,-0.5079365079365079,1.2307692307692308,1.3333333333333333,0.27412446460065504
-20,-18,85.8,8.5,-0.31746031746031744,-0.2857142857142857,-0.3492063492063492,-0.3920634920634921,1.2350000000000003,1.2222222222222223,0.27565885613504665
28,0,144.5,30.5,0.4444444444444444,0.0,0.0,0.5396825396825397,1.2142857142857142,,0.291257243638196
22,-18,137.0,8.5,0.3492063492063492,-0.2857142857142857,-0.3492063492063492,0.42063492063492064,1.2045454545454546,1.2222222222222223,0.2988788107835727
28,-6,144.2,22.9,0.4444444444444444,-0.09523809523809523,-0.12063492063492066,0.5349206349206347,1.203571428571428,1.266666666666667,0.30069286974048853
-26,-12,79.5,15.5,-0.4126984126984127,-0.19047619047619047,-0.23809523809523808,-0.49206349206349204,1.1923076923076923,1.25,0.2988158226253464
28,-12,143.5,16.0,0.4444444444444444,-0.19047619047619047,-0.23015873015873015,0.5238095238095238,1.1785714285714286,1.2083333333333333,0.32734945830183926
-26,-18,80.3,9.5,-0.4126984126984127,-0.2857142857142857,-0.3333333333333333,-0.4793650793650794,1.1615384615384616,1.1666666666666667,0.34090199042579994
-32,0,73.0,30.5,-0.5079365079365079,0.0,0.0,-0.5952380952380952,1.171875,,0.3543083900226757
-32,-6,73.5,23.5,-0.5079365079365079,-0.09523809523809523,-0.1111111111111111,-0.5873015873015873,1.15625,1.1666666666666667,0.35726883345930965
28,-18,142.5,9.5,0.4444444444444444,-0.2857142857142857,-0.3333333333333333,0.5079365079365079,1.1428571428571428,1.1666666666666667,0.36911060720584526
